source_concept_code,source_description,fca_concept_id,fca_category,fca_assessments,omop_domain
10754,Level 5 Cognitive Assistance,C0040.00,A,cognition,Observation
10759,"Short Attention Span, Easy Distractibility, Inability to Concentrate",C0079.00,A,attention,Observation
10760,"Impulsive, Impatient, Low Tolerance for Pain or Frustration",C0101.00,A,pain_general,Observation
10773,Total Score,C0447.00,A,,Measurement
10785,Basic Mobility Raw Score,C0039.00,A,mobility,Observation
10786,Basic Mobility T-Scale Score,C0039.00,A,mobility,Observation
10787,Highest Level of Mobility Goal,C0039.00,A,mobility,Observation
10788,Basic Mobility Percent Disability,C0039.00,A,mobility,Observation
10812,Right Ear,C0447.00,A,,Measurement
10814,Left Ear,C0447.00,A,,Measurement
10819,Right Ear,C0447.00,A,,Measurement
10820,Left Ear,C0447.00,A,,Measurement
10825,P1,C0447.00,A,,Measurement
10826,N1,C0447.00,A,,Measurement
10834,P1,C0447.00,A,,Measurement
10835,N1,C0447.00,A,,Measurement
10838,P1,C0447.00,A,,Measurement
10839,N1,C0447.00,A,,Measurement
10842,P1,C0447.00,A,,Measurement
10843,N1,C0447.00,A,,Measurement
10847,Right Ear,C0447.00,A,,Measurement
10848,Left Ear,C0447.00,A,,Measurement
10849,Maximum Amplitude Ratio %,C0447.00,A,,Measurement
10855,Amplitude Right Ear,C0447.00,A,,Measurement
10857,Amplitude Left Ear,C0447.00,A,,Measurement
10860,Right Ear,C0447.00,A,,Measurement
10862,Left Ear,C0447.00,A,,Measurement
10866,"Bathing (including washing, rinsing, drying)?",C0065.00,A,bathing,Observation
10867,"Toileting, which includes using toilet, bedpan, or urinal?",C0064.00,A,toileting,Observation
10869,Taking care of personal grooming such as brushing teeth?,C0038.00,A,grooming,Observation
10871,Daily Activity Raw Score,C0447.00,A,,Measurement
10872,Daily Activity T-Scale Score,C0447.00,A,,Measurement
10884,Sitting balance,C0037.00,A,balance,Observation
10889,Immediate standing balance first 5 seconds,C0037.00,A,balance,Observation
10890,Standing balance 30 second,C0037.00,A,balance,Observation
10891,Standing balance / standing reach,C0037.00,A,balance,Observation
10892,Standing balance nudge test,C0037.00,A,balance,Observation
10893,Standing balance,C0037.00,A,balance,Observation
10896,Initiation of gait,C0049.00,A,gait,Observation
1090000043,Pulse Source,C0056.00,A,pulse,Observation
1090000053,Musculoskeletal (WDL),C0335.00,A,wdl_screening,Observation
1090000056,Ambulation Assist,C0036.00,A,ambulation,Observation
10906,Total Score (out of 39),C0447.00,A,,Measurement
10909,Number Correct,C0447.00,A,,Measurement
10910,Total Words Tested,C0447.00,A,,Measurement
10913,Number correct,C0447.00,A,,Measurement
10914,Total Words Tested,C0447.00,A,,Measurement
10917,Number of intelligible words,C0447.00,A,,Measurement
10918,Total Words Tested,C0447.00,A,,Measurement
10924,Basic Word Discrimination Raw Score,C0447.00,A,,Measurement
10925,Basic Word Discrimination Percentile,C0447.00,A,,Measurement
10926,Commands Raw Score,C0447.00,A,,Measurement
10927,Commands Percentile,C0447.00,A,,Measurement
10928,Complex Ideational Raw Score,C0447.00,A,,Measurement
10929,Complex Ideational Percentile,C0447.00,A,,Measurement
10932,Matching Cases and Scripts Raw Score,C0447.00,A,,Measurement
10933,Matching Cases and Scripts Percentile,C0447.00,A,,Measurement
10934,Number Matching Raw Score,C0447.00,A,,Measurement
10935,Number Matching Percentile,C0447.00,A,,Measurement
10936,Picture-Word Matching Raw Score,C0447.00,A,,Measurement
10937,Picture-Word Matching Percentile,C0447.00,A,,Measurement
10939,Lexical Decsion Raw Score,C0447.00,A,,Measurement
10940,Lexical Decision Percentile,C0447.00,A,,Measurement
10943,Homophone Matching Raw Score,C0447.00,A,,Measurement
10944,Homophone Matching Percentile,C0447.00,A,,Measurement
10945,Free Gramatical Morphemes Raw Score,C0447.00,A,,Measurement
10946,Free Gramatical Morphemes Percentile,C0447.00,A,,Measurement
10947,Sentence/Paragraph Comprehension Raw Score,C0447.00,A,,Measurement
10948,Sentence/Paragraph Comprehension Percentile,C0447.00,A,,Measurement
10954,Nonverbal Agility Raw Score,C0447.00,A,,Measurement
10955,Nonverbal Agility Percentile,C0447.00,A,,Measurement
10956,Verbal Agility Raw Score,C0447.00,A,,Measurement
10957,Verbal Agility Percentile,C0447.00,A,,Measurement
10958,Automatized Sequences Raw Score,C0447.00,A,,Measurement
10959,Automatized Sequences Percentile,C0447.00,A,,Measurement
10960,Recitation Raw Score,C0447.00,A,,Measurement
10961,Recitation Percentile,C0447.00,A,,Measurement
10962,Melody Raw Score,C0447.00,A,,Measurement
10963,Melody Percentile,C0447.00,A,,Measurement
10964,Rhythm Raw Score,C0447.00,A,,Measurement
10965,Rhythm Percentile,C0447.00,A,,Measurement
10966,Word Repetition Raw Score,C0447.00,A,,Measurement
10967,Word Repetition Percentile,C0447.00,A,,Measurement
10968,Sentence Repetition Raw Score,C0447.00,A,,Measurement
10969,Sentence Repetition Percentile,C0447.00,A,,Measurement
10970,Responsive Naming Raw Score,C0447.00,A,,Measurement
10971,Responsive Naming Percentile,C0447.00,A,,Measurement
10972,Special Categories Raw Score,C0447.00,A,,Measurement
10973,Special Categories Percentile,C0447.00,A,,Measurement
10974,Words Oral Reading Raw Score,C0447.00,A,,Measurement
10975,Words Oral Reading Percentile,C0447.00,A,,Measurement
10976,Sentences Oral Reading Raw Score,C0447.00,A,,Measurement
10977,Sentences Oral Reading Percentile,C0447.00,A,,Measurement
10978,Simple Social Responses Raw Score,C0447.00,A,,Measurement
10979,Simple Social Responses Percentile,C0447.00,A,,Measurement
10980,Complexity Index Raw Score,C0447.00,A,,Measurement
10981,Complexity Index Percentile,C0447.00,A,,Measurement
10983,Form Raw Score,C0447.00,A,,Measurement
10984,Form Percentile,C0447.00,A,,Measurement
10985,Letter Choice Raw Score,C0447.00,A,,Measurement
10987,Letter Choice Percentile,C0447.00,A,,Measurement
10989,Motor Facility Raw Score,C0447.00,A,,Measurement
10991,Motor Facility Percentile,C0447.00,A,,Measurement
10992,Primer Words Raw Score,C0447.00,A,,Measurement
10993,Primer Words Percentile,C0447.00,A,,Measurement
10994,Regular Phonics Raw Score,C0447.00,A,,Measurement
10995,Regular Phonics Percentile,C0447.00,A,,Measurement
10996,Common Irregular Words Raw Score,C0447.00,A,,Measurement
10997,Common Irregular Words Percentile,C0447.00,A,,Measurement
10999,Written Picture Naming Raw Score,C0447.00,A,,Measurement
11,Height,C0062.00,A,height,Observation
11000,Written Picture Naming Percentile,C0447.00,A,,Measurement
11001,Narrative Writing Raw Score,C0447.00,A,,Measurement
