source_concept_code,source_description,fca_concept_id,fca_category,fca_assessments,fca_methods,omop_domain,suggested_concept_id,suggested_concept_name,val_type,units,min_val,max_val,custom_list_values,template_names,group_names,n_templates
1020100671,PPH Admission Risk Score,C0447.00,A,,,Measurement,0,,numeric,,,,,OB POSTPARTUM HEMORRHAGE RISK ASSESSMENT,Admission Risk,1
1020100725,Item 1 (Number Used),C0447.00,A,,,Measurement,0,,numeric,qty,,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR,Items,1
1020100726,Item 2 (Number Used),C0447.00,A,,,Measurement,0,,numeric,qty,,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR,Items,1
1020100727,Item 3 (Number Used),C0447.00,A,,,Measurement,0,,numeric,qty,,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR,Items,1
1020100728,Item 4 (Number Used),C0447.00,A,,,Measurement,0,,numeric,qty,,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR,Items,1
1020100729,Item 5 (Number Used),C0447.00,A,,,Measurement,0,,numeric,qty,,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR,Items,1
1020100730,Item 6 (Number Used),C0447.00,A,,,Measurement,0,,numeric,qty,,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR,Items,1
1020100731,Item 7 (Number Used),C0447.00,A,,,Measurement,0,,numeric,qty,,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR,Items,1
1020100732,Item 8 (Number Used),C0447.00,A,,,Measurement,0,,numeric,qty,,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR,Items,1
1020100733,Item 9 (Number Used),C0447.00,A,,,Measurement,0,,numeric,qty,,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR,Items,1
1020100734,Item 10 (Number Used),C0447.00,A,,,Measurement,0,,numeric,qty,,,,OB QUANTITATIVE BLOOD LOSS CALCULATOR,Items,1
1020100745,Quantitative Blood Loss - Vaginal (mL),C0447.00,A,,,Measurement,0,,numeric,mL,,,,AN INTAKE/OUTPUT|OB QUANTITATIVE BLOOD LOSS CALCULATOR|REHAB INTAKE/OUTPUT,Output|Quantitative Blood Loss - Delivery,3
1020100761,Simplified Bishop Score,C0447.00,A,,,Measurement,0,,numeric,,,,,EHC IP OB ANTEPARTUM ASSESSMENT ROVER|EHC IP OB LABOR ASSESSMENT ROVER|IP OB ADULT CERVICAL EXAM NAV|IP OB ANTEPARTUM ASSESSMENT|IP OB CERVICAL EXAM - LABOR CURVE|IP OB LABOR ASSESSMENT|IP OB LABOR MONITORING NAV|IP OBSTETRICS CUTOVER NAV|OB EFM POPUP,Vaginal Exam,9
1020100771,Does the woman require prompt attention?,C0079.00,A,attention,,Observation,0,,custom_list,,,,"Signs of active labor and greater than 34 weeks GA|Complaint of early labor signs and/or complaint of SROM/leaking 34-36 6/7 weeks GA|Greater than or equal to 34 weeks with regular contractions and HSV lesion|Greater than or equal to 34 weeks planned, elective, repeat, cesarean with regular contractions|Greater than or equal to 34 weeks multiple gestation pregnancy with irregular contractions|Other (Comment)",IP OB MATERNAL FETAL TRIAGE INDEX (AWHONN),Maternal Fetal Triage Index,1
1020100778,Fetal Heart Rate auscultated for more than 60 seconds,C0078.00,A,heart_rate,,Observation,0,,numeric,bpm,,,,IP OB MATERNAL FETAL TRIAGE INDEX (AWHONN),Fetal Vitals,1
1020100779,MFTI Score,C0447.00,A,,,Measurement,0,,numeric,,,,,IP OB MATERNAL FETAL TRIAGE INDEX (AWHONN),Maternal Fetal Triage Index,1
1020100804,Non-Pharmacologic Pain Management of Labor,C0101.00,A,pain_general,,Observation,0,,custom_list,,,,Yes|No,OB NAV PRENATAL BABY FRIENDLY CHECKLIST,Topics Discussed with Patient:,1
1020100808,Pain Source,C0101.00,A,pain_general,,Observation,0,,custom_list,,,,Labor pain|Non-labor pain,IP OB MATERNAL FETAL TRIAGE INDEX (AWHONN),Pain Management,1
